dataset,task,thermometer_type,thermometer_size,address_size,accuracy,f1_macro,f1_weighted,auc_roc,train_time_s,infer_latency_us,memory_kb
GPS_Tracker,multiclass,Gaussian,32,4,0.5778937462571648,0.37286804798609485,0.5521446294351432,,0.58219,19580.1365,127.63
GPS_Tracker,multiclass,Gaussian,32,8,0.5778937462571648,0.37286804798609485,0.5521446294351432,,1.04132,6382.5437,91.56
GPS_Tracker,multiclass,Gaussian,32,16,0.5778937462571648,0.37286804798609485,0.5521446294351432,,0.78075,2581.4608,73.52
Modbus,binary,Distributive,8,4,0.5581868838405486,0.5562972518023714,0.5573273960333646,,2.05296,2242.4956,110.64
Modbus,binary,Distributive,8,8,0.5472567509644235,0.546090634398655,0.5469091348211395,,1.63413,1307.5053,119.94
Modbus,binary,Distributive,8,16,0.5495070724389198,0.5484571080309588,0.54923174843861,,1.15831,395.1146,70.9
Modbus,binary,Distributive,16,4,0.573831975996571,0.572771216447234,0.5735285759534272,,4.29344,3398.1016,206.92
Modbus,binary,Distributive,16,8,0.5659022717531076,0.5643725372827497,0.5652909312143208,,2.7954,1185.5813,231.35
Modbus,binary,Distributive,16,16,0.6218388341191599,0.6218375791682089,0.621862087622074,,1.95116,599.5009,234.39
Modbus,binary,Distributive,32,4,0.6083369052721818,0.6073787714563059,0.6080687940742469,,3.66728,2725.8581,400.22
Modbus,binary,Distributive,32,8,0.626553793399057,0.6260890529043425,0.626558031154328,,5.07242,569.8239,397.98
Modbus,binary,Distributive,32,16,0.698349764252036,0.6980913887495238,0.6984056036463518,,1.65076,294.8614,458.88
Modbus,binary,Gaussian,8,4,0.5649378482640377,0.5646101993585709,0.5650351190328481,,0.76444,1049.0124,106.49
Modbus,binary,Gaussian,8,8,0.5274324903557651,0.5260937191675082,0.5269898321402932,,1.18948,1039.4197,114.41
Modbus,binary,Gaussian,8,16,0.5400771538791256,0.5398741804044049,0.5402179926166869,,0.98369,335.7378,65.88
Modbus,binary,Gaussian,16,4,0.5907629661380197,0.5894834178183685,0.5902987921794515,,3.6556,2966.3503,199.26
Modbus,binary,Gaussian,16,8,0.5651521645949421,0.5628855155397425,0.5640053481086804,,2.7947,1251.7267,212.44
Modbus,binary,Gaussian,16,16,0.5869052721817403,0.586799934572286,0.5870346465611371,,1.65615,535.5108,206.29
