dataset,task,thermometer_type,thermometer_size,address_size,hash_mode,num_hashes,filter_size,accuracy,f1_macro,f1_weighted,auc_roc,train_time_s,infer_latency_us,memory_kb
Fridge,binary,Distributive,16,8,simhash,4,16,0.5315420560747663,0.49335730342385586,0.5279905258889979,0.49379951303521585,0.03609,2.8172,0.1
Fridge,binary,Distributive,16,8,simhash,4,64,0.5938751668891856,0.4572298457193693,0.5250411941927988,0.49993568501692504,0.03686,2.9018,0.1
Fridge,binary,Distributive,16,8,simhash,4,256,0.5559913217623498,0.4929025086671454,0.5374393003104124,0.49910938891858186,0.03581,2.8562,0.1
Fridge,binary,Distributive,16,8,simhash,4,1024,0.5741822429906542,0.4860326084942199,0.5390325096300974,0.49960857236177925,0.03608,2.8191,0.1
Fridge,binary,Distributive,16,8,simhash,8,16,0.6182409879839786,0.40548913138063664,0.49404423531484953,0.5003055407090682,0.03744,2.9153,0.1
Fridge,binary,Distributive,16,8,simhash,8,64,0.5588284379172229,0.4917024421719684,0.53769646543347,0.49833703010867636,0.03731,2.9151,0.1
Fridge,binary,Distributive,16,8,simhash,8,256,0.5670060080106809,0.49373868447313407,0.5416943092671765,0.5031031830868816,0.03722,2.9366,0.1
Fridge,binary,Distributive,16,8,simhash,8,1024,0.5856141522029372,0.46022365793628683,0.5250029576058999,0.49642768276025895,0.03801,2.976,0.1
Fridge,binary,Distributive,16,8,h3,2,16,0.5751835781041389,0.48306126508209957,0.5373986799976491,0.5011406259279054,0.01103,1.0211,0.1
Fridge,binary,Distributive,16,8,h3,2,64,0.5822763684913218,0.4811832099714547,0.5382081598813382,0.5035853673020964,0.01121,1.0398,0.1
Fridge,binary,Distributive,16,8,h3,2,256,0.5864485981308412,0.46857644742125915,0.5308958127149148,0.4978806342419384,0.01114,1.0325,0.1
Fridge,binary,Distributive,16,8,h3,2,1024,0.5569926568758344,0.4986218002277213,0.5412186787403086,0.5032337430963834,0.01131,1.0339,0.1
Fridge,binary,Distributive,16,8,h3,4,16,0.5837783711615487,0.4765496099354376,0.535541244061307,0.5022344557277748,0.01162,1.0924,0.1
Fridge,binary,Distributive,16,8,h3,4,64,0.5660046728971962,0.4916598910450852,0.5400659196391719,0.501957093651642,0.01242,1.103,0.1
Fridge,binary,Distributive,16,8,h3,4,256,0.5877837116154874,0.4594045715514662,0.5250010362691099,0.49489349129995847,0.01206,1.0919,0.1
Fridge,binary,Distributive,16,8,h3,4,1024,0.5964619492656876,0.4562175691796512,0.5249801768327456,0.5024837876358453,0.01195,1.0937,0.1
Fridge,binary,Distributive,16,8,h3,8,16,0.5998831775700935,0.463453457342274,0.5308216991360541,0.5056762871904508,0.01372,1.2076,0.1
Fridge,binary,Distributive,16,8,h3,8,64,0.5215287049399199,0.49696876421623815,0.52464507204081,0.49734521052319025,0.01388,1.2571,0.1
Fridge,binary,Distributive,16,8,h3,8,256,0.5556575433911882,0.49169883003543224,0.536594807606257,0.4959391590949581,0.01378,1.2163,0.1
Fridge,binary,Distributive,16,8,h3,8,1024,0.599799732977303,0.43716203191926367,0.5124974712171819,0.49747177682760263,0.01407,1.1982,0.1
Fridge,binary,Distributive,16,16,murmur,2,16,0.5467289719626168,0.49822329183636754,0.5370694940630792,0.5001977255181423,0.01029,0.9457,0.1
Fridge,binary,Distributive,16,16,murmur,2,64,0.6066421895861148,0.444253898495739,0.5190557911499041,0.5045042164023992,0.0105,0.9447,0.1
Fridge,binary,Distributive,16,16,murmur,2,256,0.5979639519359146,0.4593513712246209,0.527515501225033,0.506003236534236,0.01043,0.9412,0.1
Fridge,binary,Distributive,16,16,murmur,2,1024,0.5944592790387183,0.4545143736865157,0.5233110124955722,0.494136394679019,0.01075,0.9374,0.1
Fridge,binary,Distributive,16,16,murmur,4,16,0.6086448598130841,0.42361073423502194,0.5049276459765444,0.4984703367183325,0.01098,0.957,0.1
Fridge,binary,Distributive,16,16,murmur,4,64,0.6119826435246996,0.431839592747005,0.5114997681353631,0.5026272047033672,0.01119,0.9629,0.1
Fridge,binary,Distributive,16,16,murmur,4,256,0.5674232309746329,0.48903012618086367,0.5388650270553007,0.4986237603183087,0.01167,0.948,0.1
Fridge,binary,Distributive,16,16,murmur,4,1024,0.5931241655540721,0.45810129786045195,0.5254547310262431,0.49483216046083495,0.01127,0.9663,0.1
Fridge,binary,Distributive,16,16,murmur,8,16,0.5594125500667557,0.49465353827147585,0.5396980350540201,0.5013612447294971,0.01088,0.9844,0.1
Fridge,binary,Distributive,16,16,murmur,8,64,0.5652536715620827,0.48551152481594506,0.5359461509054905,0.4989595581685373,0.01104,0.9685,0.1
Fridge,binary,Distributive,16,16,murmur,8,256,0.5737650200267023,0.46747480272888586,0.5267146249957301,0.492485064433755,0.01267,1.0018,0.1
Fridge,binary,Distributive,16,16,murmur,8,1024,0.5781875834445928,0.47615282533744985,0.5337197979583073,0.49883368964902897,0.01137,0.9935,0.1
Fridge,binary,Distributive,16,16,simhash,2,16,0.5552403204272364,0.4982136563533351,0.5403343409069294,0.5022082368311658,0.07871,6.2689,0.1
