dataset,n_features,n_samples,a,t,scoring,fraction,random_mean,f4rm_mean,paired_delta_mean,paired_delta_ci_half,wilcoxon_p,n_paired,significance
Glass,9,214,7,8,fisher,1.0,0.6751937984496125,0.7015503875968994,0.026356589147286825,0.02431007751937984,0.029322406037723212,30,n.s.
Glass,9,214,7,8,fisher,0.75,0.6403100775193801,0.6751937984496125,0.03488372093023256,0.034744700262107416,0.10276386932329153,30,n.s.
Glass,9,214,7,8,fisher,0.5,0.624031007751938,0.6604651162790699,0.03643410852713176,0.029538772974656825,0.040113341767967506,30,n.s.
Glass,9,214,7,8,fisher,0.25,0.5682170542635657,0.6108527131782947,0.042635658914728695,0.032568741034385944,0.019335260174042666,30,n.s.
Glass,9,214,7,8,fisher,0.1,0.47829457364341094,0.4899224806201551,0.011627906976744186,0.025085242241023778,0.3602519812203342,30,n.s.
Glass,9,214,7,8,fisher,0.05,0.47829457364341094,0.4899224806201551,0.011627906976744186,0.025085242241023778,0.3602519812203342,30,n.s.
Haberman,3,306,6,8,validation,1.0,0.7290322580645162,0.727956989247312,-0.0010752688172043002,0.01092302311481821,0.9601831226674602,30,n.s.
Haberman,3,306,6,8,validation,0.75,0.7311827956989247,0.7306451612903226,-0.0005376344086021575,0.010662258977851667,0.9080538720916203,30,n.s.
Haberman,3,306,6,8,validation,0.5,0.7322580645161291,0.7327956989247312,0.0005376344086021463,0.007345132334937588,0.9000694731719537,30,n.s.
Haberman,3,306,6,8,validation,0.25,0.7344086021505377,0.7360215053763441,0.0016129032258064464,0.0074794426441756635,0.750277968566853,30,n.s.
Haberman,3,306,6,8,validation,0.1,0.7344086021505377,0.7360215053763441,0.0016129032258064464,0.0074794426441756635,0.750277968566853,30,n.s.
Haberman,3,306,6,8,validation,0.05,0.7344086021505377,0.7360215053763441,0.0016129032258064464,0.0074794426441756635,0.750277968566853,30,n.s.
Haberman,3,306,6,8,fisher,1.0,0.7290322580645162,0.727956989247312,-0.0010752688172043002,0.01092302311481821,0.9601831226674602,30,n.s.
Haberman,3,306,6,8,fisher,0.75,0.7333333333333333,0.7301075268817205,-0.0032258064516129076,0.011583136571348214,0.4701409478687726,30,n.s.
Haberman,3,306,6,8,fisher,0.5,0.7376344086021507,0.7311827956989247,-0.006451612903225805,0.008915748368560968,0.23888521008855912,30,n.s.
Haberman,3,306,6,8,fisher,0.25,0.7408602150537634,0.7365591397849462,-0.004301075268817204,0.006767211001931187,0.2923500663349652,30,n.s.
Haberman,3,306,6,8,fisher,0.1,0.7408602150537634,0.7365591397849462,-0.004301075268817204,0.006767211001931187,0.2923500663349652,30,n.s.
Haberman,3,306,6,8,fisher,0.05,0.7408602150537634,0.7365591397849462,-0.004301075268817204,0.006767211001931187,0.2923500663349652,30,n.s.
Ecoli,7,336,8,8,validation,1.0,0.8019607843137255,0.8225490196078431,0.020588235294117643,0.01603337905510721,0.025164561753334317,30,n.s.
Ecoli,7,336,8,8,validation,0.75,0.7857843137254902,0.7999999999999999,0.014215686274509793,0.016611597762879956,0.1820032240189089,30,n.s.
Ecoli,7,336,8,8,validation,0.5,0.7779411764705882,0.7887254901960785,0.01078431372549019,0.020587982869762003,0.3687265308650758,30,n.s.
Ecoli,7,336,8,8,validation,0.25,0.7161764705882353,0.7450980392156864,0.028921568627450978,0.021784678870506613,0.019990093859520504,30,n.s.
Ecoli,7,336,8,8,validation,0.1,0.6612745098039217,0.6759803921568627,0.014705882352941173,0.023574854697593527,0.14093581333128682,30,n.s.
Ecoli,7,336,8,8,validation,0.05,0.6612745098039217,0.6759803921568627,0.014705882352941173,0.023574854697593527,0.14093581333128682,30,n.s.
Ecoli,7,336,8,8,fisher,1.0,0.8019607843137255,0.8225490196078431,0.020588235294117643,0.01603337905510721,0.025164561753334317,30,n.s.
Ecoli,7,336,8,8,fisher,0.75,0.7720588235294118,0.7916666666666666,0.01960784313725491,0.01989926772947632,0.04486675443607324,30,n.s.
Ecoli,7,336,8,8,fisher,0.5,0.7583333333333332,0.7799019607843137,0.02156862745098039,0.02039224267938462,0.049962789456516825,30,n.s.
Ecoli,7,336,8,8,fisher,0.25,0.6715686274509804,0.6975490196078432,0.02598039215686275,0.030330763308991152,0.14454462907688687,30,n.s.
Ecoli,7,336,8,8,fisher,0.1,0.5495098039215686,0.5735294117647061,0.024019607843137246,0.04240419747331942,0.38669708427161587,30,n.s.
Ecoli,7,336,8,8,fisher,0.05,0.5495098039215686,0.5735294117647061,0.024019607843137246,0.04240419747331942,0.38669708427161587,30,n.s.
Ionosphere,34,351,8,8,validation,1.0,0.9136150234741784,0.8962441314553989,-0.017370892018779338,0.009329501889333324,0.0036166875002895055,30,n.s.
Ionosphere,34,351,8,8,validation,0.75,0.9032863849765257,0.8849765258215962,-0.018309859154929574,0.011550161266172322,0.010964753477316937,30,n.s.
Ionosphere,34,351,8,8,validation,0.5,0.8887323943661972,0.8699530516431925,-0.01877934272300469,0.014758658464857119,0.03002969137225549,30,n.s.
Ionosphere,34,351,8,8,validation,0.25,0.8525821596244131,0.836150234741784,-0.016431924882629116,0.01909289315880103,0.07220425648017414,30,n.s.
Ionosphere,34,351,8,8,validation,0.1,0.7530516431924884,0.7713615023474178,0.018309859154929584,0.030704693495398158,0.14154991654673127,30,n.s.
Ionosphere,34,351,8,8,validation,0.05,0.7037558685446009,0.7122065727699529,0.008450704225352105,0.034883534595747195,0.39971997601516296,30,n.s.
Ionosphere,34,351,8,8,fisher,1.0,0.9136150234741784,0.8962441314553989,-0.017370892018779338,0.009329501889333324,0.0036166875002895055,30,n.s.
Ionosphere,34,351,8,8,fisher,0.75,0.9065727699530516,0.8816901408450704,-0.024882629107981235,0.015014616540519799,0.0024276446990852078,30,n.s.
Ionosphere,34,351,8,8,fisher,0.5,0.8755868544600939,0.8563380281690142,-0.019248826291079806,0.013722197238211864,0.01969992808747088,30,n.s.
Ionosphere,34,351,8,8,fisher,0.25,0.7967136150234743,0.7586854460093898,-0.0380281690140845,0.02930337194922684,0.030379234344422773,30,n.s.
Ionosphere,34,351,8,8,fisher,0.1,0.6258215962441314,0.6051643192488263,-0.020657276995305167,0.04946634738394135,0.3194168287498492,30,n.s.
Ionosphere,34,351,8,8,fisher,0.05,0.5511737089201879,0.531924882629108,-0.01924882629107981,0.053215568952886504,0.5010764059571002,30,n.s.
Breast Cancer,30,569,9,8,validation,1.0,0.9549707602339178,0.9567251461988301,0.001754385964912275,0.00523958963203607,0.6129097109358861,30,n.s.
Breast Cancer,30,569,9,8,validation,0.75,0.9538011695906429,0.955847953216374,0.002046783625730993,0.0065783880024801135,0.5068127231454193,30,n.s.
Breast Cancer,30,569,9,8,validation,0.5,0.9482456140350877,0.9514619883040935,0.003216374269005847,0.006195362900701378,0.21998541258107918,30,n.s.
