system,dataset,mem_band,best_acc_in_band,hp_id_at_best,n_seeds
CatBoost,Haberman,10-100KB,0.7548387096774193,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 1, ""learning_rate"": 0.03}",5
CatBoost,Haberman,100KB-1MB,0.7290322580645161,"{""depth"": 6, ""iterations"": 100, ""l2_leaf_reg"": 10, ""learning_rate"": 0.1}",5
CatBoost,Haberman,>1MB,0.7129032258064516,"{""depth"": 10, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.03}",5
CatBoost,Ionosphere,10-100KB,0.9530516431924884,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Ionosphere,100KB-1MB,0.948356807511737,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Ionosphere,>1MB,0.9436619718309859,"{""depth"": 8, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Iris,10-100KB,0.9555555555555556,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Iris,100KB-1MB,0.9555555555555556,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Iris,>1MB,0.9555555555555556,"{""depth"": 8, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Letter Recognition,100KB-1MB,0.8528333333333333,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Letter Recognition,>1MB,0.9645833333333332,"{""depth"": 8, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Magic Gamma,10-100KB,0.8675955134945671,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Magic Gamma,100KB-1MB,0.8862600771118121,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Magic Gamma,>1MB,0.8864353312302838,"{""depth"": 8, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Pendigits,100KB-1MB,0.9889343641048961,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Pendigits,>1MB,0.9910565408519023,"{""depth"": 8, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Pima Diabetes,10-100KB,0.7662337662337663,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Pima Diabetes,100KB-1MB,0.7575757575757575,"{""depth"": 8, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Pima Diabetes,>1MB,0.7467532467532467,"{""depth"": 8, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,SatImage,100KB-1MB,0.9165370658372214,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,SatImage,>1MB,0.9212026956972524,"{""depth"": 8, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
