system,dataset,criterion,hp_id,mean_acc,mean_mem_bytes,mean_train_s,mean_infer_us_per_sample,n_seeds_aggregated
BTHOWeN,Vehicle,best_acc_per_log_mem,"{""addressSize"": 6, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 2}",0.6341176470588236,576.0,0.01609226658474654,4.492206088102916,10
BTHOWeN,Vehicle,best_acc_at_small_budget,"{""addressSize"": 16, ""bitsPerInput"": 8, ""numBits"": 1024, ""numHashes"": 2}",0.6905882352941177,4608.0,0.018032217025756837,6.59352812149069,5
BTHOWeN,Vehicle,best_acc_at_medium_budget,"{""addressSize"": 16, ""bitsPerInput"": 8, ""numBits"": 1024, ""numHashes"": 2}",0.6905882352941177,4608.0,0.018032217025756837,6.59352812149069,5
BTHOWeN,Waveform,best_acc,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",0.8154,11520.0,0.3541666999924928,16.3978585973382,10
BTHOWeN,Waveform,best_mem_at_iso_acc,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 4}",0.8106,2880.0,0.3872132581891492,17.64742478262633,10
BTHOWeN,Waveform,best_acc_per_log_mem,"{""addressSize"": 6, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 4}",0.7644,960.0,0.15590588317718357,7.1541504468768835,10
BTHOWeN,Waveform,best_acc_at_small_budget,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 4}",0.8106,2880.0,0.3872132581891492,17.64742478262633,10
BTHOWeN,Waveform,best_acc_at_medium_budget,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",0.8154,11520.0,0.3541666999924928,16.3978585973382,10
BTHOWeN,Wine,best_acc,"{""addressSize"": 4, ""bitsPerInput"": 8, ""numBits"": 256, ""numHashes"": 2}",0.9666666666666666,2496.0,0.004222183604724705,6.470371994914279,5
BTHOWeN,Wine,best_mem_at_iso_acc,"{""addressSize"": 4, ""bitsPerInput"": 8, ""numBits"": 256, ""numHashes"": 2}",0.9666666666666666,2496.0,0.004222183604724705,6.470371994914279,5
BTHOWeN,Wine,best_acc_per_log_mem,"{""addressSize"": 6, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 2}",0.9444444444444444,336.0,0.0019453665940091015,3.118983780344327,10
BTHOWeN,Wine,best_acc_at_small_budget,"{""addressSize"": 4, ""bitsPerInput"": 8, ""numBits"": 256, ""numHashes"": 2}",0.9666666666666666,2496.0,0.004222183604724705,6.470371994914279,5
BTHOWeN,Wine,best_acc_at_medium_budget,"{""addressSize"": 4, ""bitsPerInput"": 8, ""numBits"": 256, ""numHashes"": 2}",0.9666666666666666,2496.0,0.004222183604724705,6.470371994914279,5
BTHOWeN,Yeast,best_acc,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",0.5252525252525253,30720.0,0.07816014999989421,12.592844404781909,10
BTHOWeN,Yeast,best_mem_at_iso_acc,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",0.5252525252525253,30720.0,0.07816014999989421,12.592844404781909,10
BTHOWeN,Yeast,best_acc_per_log_mem,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 4}",0.49696969696969695,960.0,0.05247654998674989,10.335016117653863,10
BTHOWeN,Yeast,best_acc_at_small_budget,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",0.5124579124579125,10240.0,0.040932074980810286,8.327357693628631,10
BTHOWeN,Yeast,best_acc_at_medium_budget,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",0.5252525252525253,30720.0,0.07816014999989421,12.592844404781909,10
BTHOWeN,australian,best_acc,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",0.8565217391304347,2688.0,0.013649158226326109,5.055797131111225,10
