method,dataset,a,t,bleach,acc_mean,mem_mean,train_mean,infer_mean,n_seeds
F4RM,Breast Cancer,12,2,1,0.9298245614035088,5145.166666666667,0.00035014590248465537,1.2442856626748515,30
Random,Breast Cancer,12,2,1,0.9280701754385966,5069.833333333333,0.000335566703385363,1.2304820733046846,30
F4RM,Breast Cancer,12,2,2,0.9233918128654973,5145.166666666667,0.0003502082972166439,1.2486724779336595,30
Random,Breast Cancer,12,2,2,0.9175438596491231,5069.833333333333,0.0003371888694042961,1.226790550257466,30
F4RM,Breast Cancer,12,2,3,0.8900584795321637,5145.166666666667,0.0004684402064109842,1.4254504376314365,30
Random,Breast Cancer,12,2,3,0.8956140350877193,5069.833333333333,0.00033359310667340956,1.24350523750423,30
F4RM,Breast Cancer,12,2,4,0.8614035087719298,5145.166666666667,0.0003462985313187043,1.2489641629900148,30
Random,Breast Cancer,12,2,4,0.8584795321637426,5069.833333333333,0.00033053345202157895,1.230470567930773,30
F4RM,Breast Cancer,16,2,1,0.8809941520467836,5821.666666666667,0.00033347494124124445,1.1271184067955318,30
Random,Breast Cancer,16,2,1,0.8769005847953217,5802.833333333333,0.00033020270445073644,1.1457977557761803,30
F4RM,Breast Cancer,16,2,2,0.7809941520467837,5821.666666666667,0.0003386042080819607,1.1417765595149576,30
Random,Breast Cancer,16,2,2,0.7830409356725146,5802.833333333333,0.00031972213570649426,1.1298848705486073,30
F4RM,Breast Cancer,16,2,3,0.6994152046783626,5821.666666666667,0.000334145730206122,1.1205893794172685,30
Random,Breast Cancer,16,2,3,0.6812865497076023,5802.833333333333,0.0003198387916199863,1.1213692259152381,30
F4RM,Breast Cancer,16,2,4,0.6271929824561403,5821.666666666667,0.00033148463116958735,1.1158391577327806,30
Random,Breast Cancer,16,2,4,0.6116959064327485,5802.833333333333,0.0003262097869689266,1.135501331154105,30
F4RM,Breast Cancer,20,2,1,0.7014619883040936,5361.333333333333,0.00030395546928048135,0.9676175701230415,30
Random,Breast Cancer,20,2,1,0.704970760233918,5326.0,0.00028470831845576566,0.9641816501903254,30
F4RM,Breast Cancer,20,2,2,0.5546783625730994,5361.333333333333,0.00029722496789569655,0.9555674950477845,30
Random,Breast Cancer,20,2,2,0.5514619883040935,5326.0,0.0002819306217133999,0.956859330684818,30
F4RM,Breast Cancer,20,2,3,0.4853801169590643,5361.333333333333,0.0003019986324943602,0.9615140033025317,30
Random,Breast Cancer,20,2,3,0.4868421052631579,5326.0,0.00028533199802041056,0.9548490899696686,30
F4RM,Breast Cancer,20,2,4,0.45000000000000007,5361.333333333333,0.0003045416708725194,0.9774371684795757,30
Random,Breast Cancer,20,2,4,0.45,5326.0,0.00029236533058186375,0.9718316005357699,30
F4RM,Breast Cancer,24,2,1,0.6149122807017543,5829.333333333333,0.0003206791278595726,1.0653636867605278,30
Random,Breast Cancer,24,2,1,0.6020467836257312,5831.0,0.00030623618513345716,1.0580046385613797,30
F4RM,Breast Cancer,24,2,2,0.47339181286549714,5829.333333333333,0.0003236847037139038,1.0608668215790689,30
Random,Breast Cancer,24,2,2,0.46754385964912276,5831.0,0.00030658199684694407,1.0683728526319152,30
F4RM,Breast Cancer,24,2,3,0.431578947368421,5829.333333333333,0.0003193651946882407,1.09680858849172,30
Random,Breast Cancer,24,2,3,0.4239766081871344,5831.0,0.0003059650887735188,1.056103528700551,30
F4RM,Breast Cancer,24,2,4,0.40614035087719297,5829.333333333333,0.00031928193445007004,1.0554337321252327,30
Random,Breast Cancer,24,2,4,0.40409356725146195,5831.0,0.0003035096994911631,1.0514002816196073,30
F4RM,Breast Cancer,28,2,1,0.5078947368421054,6220.0,0.00033546670650442444,1.162889192959196,30
Random,Breast Cancer,28,2,1,0.5023391812865498,6207.0,0.00031930283876135945,1.1784976282924937,30
F4RM,Breast Cancer,28,2,2,0.4166666666666667,6220.0,0.00033366660742710036,1.1554575724015284,30
Random,Breast Cancer,28,2,2,0.4187134502923977,6207.0,0.0003203848493285477,1.1367804359927862,30
F4RM,Breast Cancer,28,2,3,0.3906432748538012,6220.0,0.00033238324103876946,1.1560560560823359,30
Random,Breast Cancer,28,2,3,0.3961988304093568,6207.0,0.00031294858005518716,1.1287165645030683,30
F4RM,Breast Cancer,28,2,4,0.38070175438596493,6220.0,0.00033765276117871205,1.1597719854996567,30
Random,Breast Cancer,28,2,4,0.38450292397660824,6207.0,0.0003218583335789541,1.210343788448743,30
F4RM,Breast Cancer,32,2,1,0.4327485380116959,4277.166666666667,0.00028741249116137624,0.8501949494061937,30
Random,Breast Cancer,32,2,1,0.43654970760233913,4281.333333333333,0.00026844029392426215,0.84170350690552,30
F4RM,Breast Cancer,32,2,2,0.3883040935672515,4277.166666666667,0.0002855986395540337,0.8581988431774735,30
Random,Breast Cancer,32,2,2,0.3891812865497076,4281.333333333333,0.0002724443950379888,0.8544468318182997,30
F4RM,Breast Cancer,32,2,3,0.37836257309941523,4277.166666666667,0.00028587078753237923,0.8459783660258815,30
Random,Breast Cancer,32,2,3,0.3769005847953216,4281.333333333333,0.0002676236016365389,0.839315563146221,30
F4RM,Breast Cancer,32,2,4,0.37485380116959066,4277.166666666667,0.0002872722727867464,0.8539347405605322,30
Random,Breast Cancer,32,2,4,0.3728070175438596,4281.333333333333,0.00027005697678153713,0.8463454827644499,30
F4RM,Breast Cancer,48,2,1,0.38333333333333336,4473.166666666667,0.00032538741749400893,1.137913681283506,30
Random,Breast Cancer,48,2,1,0.38128654970760234,4471.666666666667,0.00030998472745219865,1.0855513970688941,30
F4RM,Breast Cancer,48,2,2,0.3722222222222221,4473.166666666667,0.00032266106378907956,1.0879022717388749,30
Random,Breast Cancer,48,2,2,0.36959064327485375,4471.666666666667,0.00031181253337611754,1.1195543723191783,30
F4RM,Breast Cancer,48,2,3,0.36900584795321634,4473.166666666667,0.0003231805399991572,1.0966256598544397,30
Random,Breast Cancer,48,2,3,0.36929824561403507,4471.666666666667,0.0003071776785266896,1.100097627689441,30
F4RM,Breast Cancer,48,2,4,0.36842105263157887,4473.166666666667,0.00032170544533679883,1.084246728514806,30
Random,Breast Cancer,48,2,4,0.3687134502923976,4471.666666666667,0.00030515696853399276,1.0803112098456997,30
F4RM,Breast Cancer,2,4,1,0.8146198830409355,2192.8333333333335,0.0012525056023150682,7.269054628113469,30
Random,Breast Cancer,2,4,1,0.8040935672514621,2185.8333333333335,0.001231981930322945,7.118469877549779,30
F4RM,Breast Cancer,2,4,2,0.8894736842105263,2192.8333333333335,0.0012504054931923747,7.166178408215007,30
Random,Breast Cancer,2,4,2,0.8845029239766081,2185.8333333333335,0.0012435665897404153,7.225547328983482,30
F4RM,Breast Cancer,2,4,3,0.9190058479532165,2192.8333333333335,0.001254683224639545,7.252716316367712,30
Random,Breast Cancer,2,4,3,0.9131578947368422,2185.8333333333335,0.001238847205725809,7.204982664501459,30
F4RM,Breast Cancer,2,4,4,0.931578947368421,2192.8333333333335,0.0012596945355956752,7.234503105228321,30
Random,Breast Cancer,2,4,4,0.927485380116959,2185.8333333333335,0.0012307736168925961,7.207176412526539,30
F4RM,Breast Cancer,4,4,1,0.9190058479532166,3172.1666666666665,0.0008766791007171075,4.551742240862802,30
Random,Breast Cancer,4,4,1,0.9181286549707601,3108.0,0.0008772903044397632,4.48009157172072,30
F4RM,Breast Cancer,4,4,2,0.9415204678362575,3172.1666666666665,0.000839199925151964,4.389790044716227,30
Random,Breast Cancer,4,4,2,0.9383040935672515,3108.0,0.000820923507368813,4.378580883123547,30
F4RM,Breast Cancer,4,4,3,0.944736842105263,3172.1666666666665,0.0008397930612166723,4.394114567565988,30
Random,Breast Cancer,4,4,3,0.9394736842105262,3108.0,0.000820222256394724,4.396382181453164,30
F4RM,Breast Cancer,4,4,4,0.943567251461988,3172.1666666666665,0.0008442153261664013,4.407845278221526,30
Random,Breast Cancer,4,4,4,0.9432748538011694,3108.0,0.0008324971577773492,4.483443039485761,30
F4RM,Breast Cancer,8,4,1,0.951169590643275,6575.666666666667,0.0006184361254175504,2.873550939825718,30
Random,Breast Cancer,8,4,1,0.9488304093567252,6341.166666666667,0.0005925318730684618,2.868701901275948,30
F4RM,Breast Cancer,8,4,2,0.9441520467836259,6575.666666666667,0.0006222111405804753,2.864534471031518,30
Random,Breast Cancer,8,4,2,0.9499999999999998,6341.166666666667,0.0005996485978054504,2.8821031429548887,30
F4RM,Breast Cancer,8,4,3,0.945029239766082,6575.666666666667,0.0006137374633302292,2.860380622574634,30
Random,Breast Cancer,8,4,3,0.9511695906432748,6341.166666666667,0.0005941263865679502,2.872501295713479,30
F4RM,Breast Cancer,8,4,4,0.9412280701754387,6575.666666666667,0.0006147902924567461,2.843579542904831,30
Random,Breast Cancer,8,4,4,0.9456140350877195,6341.166666666667,0.000606348718671749,2.9416173445986726,30
F4RM,Breast Cancer,12,4,1,0.9476608187134503,9492.333333333334,0.0005504277651198208,2.413962311410939,30
Random,Breast Cancer,12,4,1,0.9499999999999997,9184.166666666666,0.0005399861838668585,2.4083579688915733,30
F4RM,Breast Cancer,12,4,2,0.9429824561403509,9492.333333333334,0.0005389861413277686,2.2765358961704707,30
Random,Breast Cancer,12,4,2,0.9450292397660818,9184.166666666666,0.0005195347010158002,2.337951241714651,30
F4RM,Breast Cancer,12,4,3,0.9374269005847954,9492.333333333334,0.0005323236614155273,2.3413125128752132,30
Random,Breast Cancer,12,4,3,0.9415204678362573,9184.166666666666,0.0005210361676290631,2.3278633775243986,30
F4RM,Breast Cancer,12,4,4,0.9280701754385966,9492.333333333334,0.000538798588483284,2.4073945129649683,30
Random,Breast Cancer,12,4,4,0.9312865497076025,9184.166666666666,0.0005325848430705567,2.3604284873918484,30
F4RM,Breast Cancer,16,4,1,0.9327485380116959,11324.5,0.0005032916359292964,2.175171339437801,30
Random,Breast Cancer,16,4,1,0.9380116959064325,11121.333333333334,0.0004873235826380551,2.1570060900494195,30
F4RM,Breast Cancer,16,4,2,0.9046783625730995,11324.5,0.0005013611012448867,2.1356973206156,30
Random,Breast Cancer,16,4,2,0.9084795321637429,11121.333333333334,0.00047930556271846093,2.1294718581028502,30
F4RM,Breast Cancer,16,4,3,0.8555555555555556,11324.5,0.0004989194256874422,2.14684500674886,30
Random,Breast Cancer,16,4,3,0.8523391812865496,11121.333333333334,0.0004800180671736598,2.1221975343879205,30
