method,dataset,a,t,bleach,acc_mean,mem_mean,train_mean,infer_mean,n_seeds
F4RM,Breast Cancer,16,4,4,0.7932748538011694,11324.5,0.0004980959075813492,2.1371704850302278,30
Random,Breast Cancer,16,4,4,0.7991228070175438,11121.333333333334,0.00048139854334294796,2.1446890766835875,30
F4RM,Breast Cancer,20,4,1,0.8576023391812867,10667.833333333334,0.0004369999010426303,1.824244806455851,30
Random,Breast Cancer,20,4,1,0.8698830409356724,10507.0,0.000419523601885885,1.813633073317377,30
F4RM,Breast Cancer,20,4,2,0.7239766081871346,10667.833333333334,0.0004432222689501941,1.8788253812239186,30
Random,Breast Cancer,20,4,2,0.7312865497076024,10507.0,0.0004186819695557157,1.8117072507303364,30
F4RM,Breast Cancer,20,4,3,0.6108187134502925,10667.833333333334,0.0004415764279353122,1.8627800820776597,30
Random,Breast Cancer,20,4,3,0.6178362573099414,10507.0,0.0004171401689139505,1.8082841977542428,30
F4RM,Breast Cancer,20,4,4,0.5257309941520467,10667.833333333334,0.0004372375396390756,1.822296347556233,30
Random,Breast Cancer,20,4,4,0.5456140350877193,10507.0,0.00042364310550813876,1.8377916694057788,30
F4RM,Breast Cancer,24,4,1,0.7222222222222222,9965.666666666666,0.0004142930769982437,1.6986708325600761,30
Random,Breast Cancer,24,4,1,0.7307017543859649,9903.333333333334,0.0003964431739101807,1.685477436482035,30
F4RM,Breast Cancer,24,4,2,0.5292397660818714,9965.666666666666,0.00041060956039776404,1.6802137959966361,30
Random,Breast Cancer,24,4,2,0.536842105263158,9903.333333333334,0.0004027320343690614,1.7168736956708615,30
F4RM,Breast Cancer,24,4,3,0.4444444444444445,9965.666666666666,0.00041041264000038307,1.6965034311604608,30
Random,Breast Cancer,24,4,3,0.45350877192982453,9903.333333333334,0.00039961673707390825,1.7599891312965004,30
F4RM,Breast Cancer,24,4,4,0.4073099415204678,9965.666666666666,0.0004131611941071848,1.6820661271568282,30
Random,Breast Cancer,24,4,4,0.41111111111111115,9903.333333333334,0.00039813603119303784,1.7005486593565395,30
F4RM,Breast Cancer,28,4,1,0.6046783625730996,10532.166666666666,0.00043793188718458016,1.835624268006163,30
Random,Breast Cancer,28,4,1,0.6172514619883042,10473.833333333334,0.0004209708073176444,1.8331878178627694,30
F4RM,Breast Cancer,28,4,2,0.4453216374269005,10532.166666666666,0.0004290777957066894,1.7998777860938977,30
Random,Breast Cancer,28,4,2,0.4584795321637426,10473.833333333334,0.0004157125911054512,1.8000855295760938,30
F4RM,Breast Cancer,28,4,3,0.3991228070175439,10532.166666666666,0.00042902097726861635,1.8043987172497815,30
Random,Breast Cancer,28,4,3,0.40263157894736845,10473.833333333334,0.00042014856978009145,1.8317363366528214,30
F4RM,Breast Cancer,28,4,4,0.3824561403508772,10532.166666666666,0.0004351083072833717,1.854471023581181,30
Random,Breast Cancer,28,4,4,0.38625730994152047,10473.833333333334,0.0004293778212741017,1.8471233105581057,30
F4RM,Breast Cancer,32,4,1,0.49502923976608193,8717.666666666666,0.00040907224562639993,1.625169874631871,30
Random,Breast Cancer,32,4,1,0.49152046783625736,8689.166666666666,0.0003865443984977901,1.6121593391119735,30
F4RM,Breast Cancer,32,4,2,0.3956140350877193,8717.666666666666,0.0004131292652649184,1.624718986516982,30
Random,Breast Cancer,32,4,2,0.3997076023391813,8689.166666666666,0.0003924486692994833,1.6049572473598854,30
F4RM,Breast Cancer,32,4,3,0.37953216374269,8717.666666666666,0.00040761390312885244,1.6031913767018686,30
Random,Breast Cancer,32,4,3,0.3769005847953216,8689.166666666666,0.00039318896209200225,1.6108661078526612,30
F4RM,Breast Cancer,32,4,4,0.3725146198830409,8717.666666666666,0.00040401101189975935,1.597514666061391,30
Random,Breast Cancer,32,4,4,0.3719298245614035,8689.166666666666,0.0003925152743856112,1.604337420870076,30
F4RM,Breast Cancer,48,4,1,0.38274853801169595,6781.666666666667,0.00039762213127687575,1.5884134727829726,30
Random,Breast Cancer,48,4,1,0.3824561403508772,6779.333333333333,0.0003862987350051602,1.6410702332984985,30
F4RM,Breast Cancer,48,4,2,0.37017543859649116,6781.666666666667,0.00040464579748610653,1.6147406276162952,30
Random,Breast Cancer,48,4,2,0.36959064327485375,6779.333333333333,0.00038235127770652375,1.5952726839687565,30
F4RM,Breast Cancer,48,4,3,0.3687134502923976,6781.666666666667,0.0004063222014034788,1.5994154355265418,30
