dataset,n_features,n_samples,a,t,bleach,random_mean,random_std,f4rm_mean,f4rm_std,paired_delta_mean,paired_delta_ci_half,wilcoxon_p,n_paired,significance
Breast Cancer,30,569,9,8,3,0.9556140350877191,0.019284407368010553,0.9557894736842104,0.017806836760232196,0.00017543859649123527,0.0044071125255157355,0.9766810009336636,50,n.s.
Breast Cancer,30,569,9,8,4,0.9510526315789474,0.017993695892660946,0.955438596491228,0.01698353317904503,0.004385964912280698,0.004058209876947652,0.045623004304637546,50,n.s.
Balance Scale,4,625,8,8,1,0.63472,0.08414735374839272,0.7022399999999999,0.046120764282036604,0.06751999999999998,0.026485705439727288,1.0450646685664201e-05,50,+++
Balance Scale,4,625,8,8,2,0.7558400000000002,0.0543846316827218,0.79328,0.033058414594626336,0.03744000000000001,0.018424949762753762,0.0013444997159630064,50,+++
Balance Scale,4,625,8,8,3,0.8003200000000001,0.036319129720761054,0.81584,0.02902452165226597,0.015519999999999992,0.012784965570544175,0.03402193879637996,50,n.s.
Balance Scale,4,625,8,8,4,0.8172800000000001,0.028701873649997257,0.8201599999999999,0.031350135891382705,0.002879999999999996,0.01118888408376813,0.7677847292091984,50,n.s.
Pima Diabetes,8,768,9,8,1,0.7002597402597402,0.031027153930043593,0.7007792207792207,0.030761988284916646,0.0005194805194805197,0.010392877408419971,0.6772800534830421,50,n.s.
Pima Diabetes,8,768,9,8,2,0.7164935064935064,0.029087513053829468,0.7131168831168831,0.03058946698532804,-0.0033766233766233753,0.008698741240751661,0.46359099524106206,50,n.s.
Pima Diabetes,8,768,9,8,3,0.7163636363636363,0.03219979723448946,0.7206493506493505,0.025923951200871903,0.0042857142857142885,0.009444820172939959,0.2630976497218961,50,n.s.
Pima Diabetes,8,768,9,8,4,0.7132467532467531,0.030832401124762796,0.7148051948051949,0.02639598938702425,0.0015584415584415656,0.00909498090629939,0.6150027478431696,50,n.s.
