dataset,n_features,n_samples,a,t,K,random_mean,f4rm_mean,paired_delta_mean,paired_delta_ci_half,wilcoxon_p,n_paired,significance
Breast Cancer,30,569,9,8,10,0.9643274853801168,0.9625730994152044,-0.0017543859649122825,0.002902802136953253,0.1694643345354433,30,n.s.
Breast Cancer,30,569,9,8,25,0.9637426900584795,0.9643274853801167,0.0005847953216374288,0.003586907127549157,0.7514817856969949,30,n.s.
Breast Cancer,30,569,9,8,50,0.9643274853801168,0.964912280701754,0.0005847953216374361,0.0027257303257229807,0.40900159499574107,30,n.s.
Breast Cancer,30,569,9,8,100,0.9646198830409355,0.9654970760233916,0.0008771929824561431,0.0023820442741309435,0.5461695654428671,30,n.s.
Balance Scale,4,625,8,8,1,0.6336,0.7021333333333336,0.06853333333333333,0.031492040796079195,0.00024026463301706673,30,+++
Balance Scale,4,625,8,8,5,0.7970666666666667,0.8162666666666667,0.019199999999999988,0.00943799051279138,0.0012971612010147305,30,+++
Balance Scale,4,625,8,8,10,0.8192,0.8253333333333335,0.006133333333333316,0.008757188176936903,0.23686021840360538,30,n.s.
Balance Scale,4,625,8,8,25,0.8370666666666668,0.8437333333333332,0.006666666666666669,0.00642703409070351,0.0785533083081011,30,n.s.
Balance Scale,4,625,8,8,50,0.8426666666666668,0.8509333333333334,0.00826666666666667,0.0061299625719982665,0.00899771957496951,30,n.s.
Balance Scale,4,625,8,8,100,0.8472000000000002,0.8533333333333334,0.006133333333333342,0.005299157073141329,0.024405371255768294,30,n.s.
Pima Diabetes,8,768,9,8,1,0.6909090909090907,0.7119047619047617,0.020995670995671,0.014603198685957896,0.007784247892071809,30,n.s.
Pima Diabetes,8,768,9,8,5,0.7268398268398266,0.7391774891774892,0.01233766233766234,0.01252599462976114,0.06153642595294991,30,n.s.
Pima Diabetes,8,768,9,8,10,0.7402597402597402,0.7415584415584415,0.0012987012987012954,0.010089972374081954,0.8729899954137936,30,n.s.
