dataset,system_a,system_b,iso_acc_levels_compared,iso_acc_wins_a,iso_acc_wins_b,iso_mem_levels_compared,iso_mem_wins_a,iso_mem_wins_b,feasible_acc_overlap_lo,feasible_acc_overlap_hi,feasible_mem_overlap_lo,feasible_mem_overlap_hi
Banknote,F4RM-WiSARD-dense,LightGBM,101,101,0,0,0,0,0.9767272727272728,0.9978181818181818,115313.0,6736.0
Banknote,F4RM-WiSARD-dense,MLP,101,101,0,50,50,0,0.7258181818181819,0.9905454545454546,772.0,6736.0
Banknote,F4RM-WiSARD-dense,FT-Transformer,101,101,0,0,0,0,0.9672727272727273,0.9987878787878787,69416.0,6736.0
Banknote,F4RM-WiSARD-dense,TabPFN,0,0,0,0,0,0,0.5941818181818183,1.0,153.0,0.0
Banknote,F4RM-WiSARD-cuckoo,Random-WiSARD-dense,101,101,0,50,50,0,0.5941818181818183,1.0,150.0,1417.4
Banknote,F4RM-WiSARD-cuckoo,Random-WiSARD-cuckoo,101,21,46,50,14,0,0.5941818181818183,1.0,31.6,1417.4
Banknote,F4RM-WiSARD-cuckoo,DT,101,101,0,50,50,0,0.8378181818181817,0.9854545454545456,1398.0,1417.4
Banknote,F4RM-WiSARD-cuckoo,RF,101,101,0,0,0,0,0.9883636363636363,0.997090909090909,33119.0,1417.4
Banknote,F4RM-WiSARD-cuckoo,CatBoost,101,101,0,0,0,0,0.9963636363636365,0.9975757575757576,40288.0,1417.4
Banknote,F4RM-WiSARD-cuckoo,XGBoost,101,101,0,0,0,0,0.9978181818181817,0.9978181818181818,77586.6,1417.4
Banknote,F4RM-WiSARD-cuckoo,LightGBM,101,101,0,0,0,0,0.9767272727272728,0.9978181818181818,115313.0,1417.4
Banknote,F4RM-WiSARD-cuckoo,MLP,101,101,0,50,50,0,0.7258181818181819,0.9905454545454546,772.0,1417.4
Banknote,F4RM-WiSARD-cuckoo,FT-Transformer,101,101,0,0,0,0,0.9672727272727273,0.9987878787878787,69416.0,1417.4
Banknote,F4RM-WiSARD-cuckoo,TabPFN,0,0,0,0,0,0,0.5941818181818183,1.0,31.6,0.0
Banknote,F4RMS,Random-WiSARD-dense,101,0,101,50,0,43,0.9418181818181818,1.0,1911.0,12923.0
Banknote,F4RMS,Random-WiSARD-cuckoo,101,0,101,50,0,50,0.9418181818181818,1.0,1911.0,2720.0
Banknote,F4RMS,DT,101,32,69,50,37,13,0.9418181818181818,0.9854545454545456,1911.0,4415.0
Banknote,F4RMS,RF,101,101,0,0,0,0,0.9883636363636363,0.997090909090909,33119.0,14816.0
Banknote,F4RMS,CatBoost,101,101,0,0,0,0,0.9963636363636365,0.9975757575757576,40288.0,14816.0
Banknote,F4RMS,XGBoost,101,101,0,0,0,0,0.9978181818181817,0.9978181818181818,77586.6,14816.0
Banknote,F4RMS,LightGBM,101,101,0,0,0,0,0.9767272727272728,0.9978181818181818,115313.0,14816.0
Banknote,F4RMS,MLP,101,101,0,50,50,0,0.9418181818181818,0.9905454545454546,1911.0,14816.0
Banknote,F4RMS,FT-Transformer,101,101,0,0,0,0,0.9672727272727273,0.9987878787878787,69416.0,14816.0
Banknote,F4RMS,TabPFN,0,0,0,0,0,0,0.9418181818181818,1.0,1911.0,0.0
Breast Cancer,F4RM-WiSARD-dense,Random-WiSARD-dense,101,12,89,50,32,18,0.9017543859649123,0.9614035087719298,1157.0,86208.0
Breast Cancer,F4RM-WiSARD-dense,Random-WiSARD-cuckoo,101,3,98,50,5,33,0.9017543859649123,0.9614035087719298,1157.0,18148.8
Breast Cancer,F4RM-WiSARD-dense,DT,101,42,59,50,18,32,0.9017543859649122,0.9438596491228071,1559.0,2653.4
Breast Cancer,F4RM-WiSARD-dense,RF,101,101,0,50,50,0,0.9491228070175438,0.9631578947368421,18519.0,88474.0
Breast Cancer,F4RM-WiSARD-dense,CatBoost,0,0,0,0,0,0,0.9754385964912281,0.9631578947368421,40836.8,40836.8
Breast Cancer,F4RM-WiSARD-dense,XGBoost,101,0,101,49,0,49,0.9631578947368421,0.9631578947368421,66483.0,88474.0
Breast Cancer,F4RM-WiSARD-dense,LightGBM,101,101,0,49,49,0,0.9578947368421054,0.9631578947368421,75446.6,88474.0
Breast Cancer,F4RM-WiSARD-dense,MLP,101,101,0,50,50,0,0.9175438596491228,0.9491228070175438,4100.0,88474.0
Breast Cancer,F4RM-WiSARD-dense,FT-Transformer,101,101,0,49,49,0,0.8649122807017544,0.9415204678362573,76072.0,88474.0
Breast Cancer,F4RM-WiSARD-dense,TabPFN,0,0,0,0,0,0,0.8649122807017544,0.9631578947368421,1157.0,0.0
Breast Cancer,F4RM-WiSARD-cuckoo,Random-WiSARD-dense,101,101,0,50,50,0,0.9017543859649123,0.9614035087719298,1140.0,18625.8
Breast Cancer,F4RM-WiSARD-cuckoo,Random-WiSARD-cuckoo,101,12,89,50,43,6,0.9017543859649123,0.9614035087719298,243.4,18148.8
Breast Cancer,F4RM-WiSARD-cuckoo,DT,101,101,0,50,50,0,0.9017543859649122,0.9438596491228071,1559.0,2653.4
Breast Cancer,F4RM-WiSARD-cuckoo,RF,101,101,0,50,50,0,0.9491228070175438,0.9631578947368421,18519.0,18625.8
Breast Cancer,F4RM-WiSARD-cuckoo,CatBoost,0,0,0,0,0,0,0.9754385964912281,0.9631578947368421,40836.8,18625.8
Breast Cancer,F4RM-WiSARD-cuckoo,XGBoost,101,101,0,0,0,0,0.9631578947368421,0.9631578947368421,66483.0,18625.8
Breast Cancer,F4RM-WiSARD-cuckoo,LightGBM,101,101,0,0,0,0,0.9578947368421054,0.9631578947368421,75446.6,18625.8
Breast Cancer,F4RM-WiSARD-cuckoo,MLP,101,101,0,50,50,0,0.9175438596491228,0.9491228070175438,4100.0,18625.8
Breast Cancer,F4RM-WiSARD-cuckoo,FT-Transformer,101,101,0,0,0,0,0.8649122807017544,0.9415204678362573,76072.0,18625.8
Breast Cancer,F4RM-WiSARD-cuckoo,TabPFN,0,0,0,0,0,0,0.8649122807017544,0.9631578947368421,243.4,0.0
Breast Cancer,F4RMS,Random-WiSARD-dense,101,40,61,50,23,19,0.9526315789473685,0.9614035087719298,15949.0,86208.0
