dataset,system_a,system_b,iso_acc_levels_compared,iso_acc_wins_a,iso_acc_wins_b,iso_mem_levels_compared,iso_mem_wins_a,iso_mem_wins_b,feasible_acc_overlap_lo,feasible_acc_overlap_hi,feasible_mem_overlap_lo,feasible_mem_overlap_hi
Breast Cancer,F4RMS,Random-WiSARD-cuckoo,101,0,101,50,0,50,0.9526315789473685,0.9614035087719298,15949.0,18148.8
Breast Cancer,F4RMS,DT,0,0,0,0,0,0,0.9526315789473685,0.9438596491228071,15949.0,2653.4
Breast Cancer,F4RMS,RF,101,34,67,50,40,9,0.9526315789473685,0.9631578947368421,18519.0,309058.8
Breast Cancer,F4RMS,CatBoost,0,0,0,0,0,0,0.9754385964912281,0.9666666666666666,40836.8,40836.8
Breast Cancer,F4RMS,XGBoost,101,0,101,49,0,49,0.9631578947368421,0.9666666666666666,66483.0,249884.0
Breast Cancer,F4RMS,LightGBM,101,20,81,49,4,45,0.9578947368421054,0.9666666666666666,75446.6,549346.4
Breast Cancer,F4RMS,MLP,0,0,0,50,50,0,0.9526315789473685,0.9491228070175438,15949.0,578436.0
Breast Cancer,F4RMS,FT-Transformer,0,0,0,49,49,0,0.9526315789473685,0.9415204678362573,76072.0,283736.0
Breast Cancer,F4RMS,TabPFN,0,0,0,0,0,0,0.9526315789473685,0.9666666666666666,15949.0,0.0
EEG Eye State,F4RM-WiSARD-dense,Random-WiSARD-dense,101,69,32,50,32,17,0.5510680907877169,0.9371161548731642,560.0,3442565.0
EEG Eye State,F4RM-WiSARD-dense,Random-WiSARD-cuckoo,101,0,101,50,0,50,0.5510680907877169,0.9371161548731642,560.0,724750.2
EEG Eye State,F4RM-WiSARD-dense,DT,101,1,100,50,4,46,0.5510680907877169,0.8411882510013351,1238.0,167339.0
EEG Eye State,F4RM-WiSARD-dense,CatBoost,101,33,68,49,17,32,0.8093012906097018,0.9427236315086782,40874.666666666664,2112482.6666666665
EEG Eye State,F4RM-WiSARD-dense,FT-Transformer,101,101,0,49,49,0,0.5511793502447707,0.5512906097018245,71976.0,409344.0
EEG Eye State,F4RM-WiSARD-dense,TabPFN,0,0,0,0,0,0,0.5510680907877169,0.9427236315086782,560.0,0.0
EEG Eye State,F4RM-WiSARD-cuckoo,Random-WiSARD-dense,101,101,0,50,50,0,0.5510680907877169,0.9371161548731642,556.0,756942.6
EEG Eye State,F4RM-WiSARD-cuckoo,Random-WiSARD-cuckoo,101,69,32,50,37,13,0.5510680907877169,0.9371161548731642,117.0,724750.2
EEG Eye State,F4RM-WiSARD-cuckoo,DT,101,43,58,50,32,18,0.5510680907877169,0.8411882510013351,1238.0,167339.0
EEG Eye State,F4RM-WiSARD-cuckoo,CatBoost,101,101,0,49,49,0,0.8093012906097018,0.9427236315086782,40874.666666666664,756942.6
EEG Eye State,F4RM-WiSARD-cuckoo,FT-Transformer,101,101,0,49,49,0,0.5511793502447707,0.5512906097018245,71976.0,409344.0
EEG Eye State,F4RM-WiSARD-cuckoo,TabPFN,0,0,0,0,0,0,0.5510680907877169,0.9427236315086782,117.0,0.0
EEG Eye State,F4RMS,Random-WiSARD-dense,101,4,97,50,6,44,0.7935024477080551,0.9371161548731642,297738.3333333333,3442565.0
EEG Eye State,F4RMS,Random-WiSARD-cuckoo,101,0,101,50,0,50,0.7935024477080551,0.9371161548731642,297738.3333333333,724750.2
EEG Eye State,F4RMS,DT,101,0,101,0,0,0,0.7935024477080551,0.8411882510013351,297738.3333333333,167339.0
EEG Eye State,F4RMS,CatBoost,101,0,101,50,0,50,0.8093012906097018,0.9491544281263907,297738.3333333333,2112482.6666666665
EEG Eye State,F4RMS,FT-Transformer,0,0,0,50,50,0,0.7935024477080551,0.5512906097018245,297738.3333333333,409344.0
EEG Eye State,F4RMS,TabPFN,0,0,0,0,0,0,0.7935024477080551,0.9491544281263907,297738.3333333333,0.0
Ecoli,F4RM-WiSARD-dense,Random-WiSARD-dense,101,42,59,50,32,18,0.7705882352941177,0.8705882352941176,554.0,6697.0
Ecoli,F4RM-WiSARD-dense,Random-WiSARD-cuckoo,101,0,101,50,0,50,0.7705882352941177,0.8705882352941176,533.0,1409.4
Ecoli,F4RM-WiSARD-dense,DT,101,101,0,50,50,0,0.7588235294117647,0.8352941176470589,1892.0,3377.8
Ecoli,F4RM-WiSARD-dense,RF,101,101,0,50,50,0,0.8352941176470589,0.8705882352941176,44010.2,57413.0
Ecoli,F4RM-WiSARD-dense,CatBoost,0,0,0,0,0,0,0.8705882352941178,0.8705882352941176,128564.8,57413.0
Ecoli,F4RM-WiSARD-dense,XGBoost,101,101,0,0,0,0,0.8470588235294118,0.8617647058823529,525955.8,57413.0
Ecoli,F4RM-WiSARD-dense,LightGBM,101,101,0,0,0,0,0.8235294117647058,0.8529411764705882,448657.2,57413.0
Ecoli,F4RM-WiSARD-dense,MLP,101,101,0,50,50,0,0.7588235294117647,0.8029411764705883,2080.0,57413.0
Ecoli,F4RM-WiSARD-dense,FT-Transformer,0,0,0,0,0,0,0.7588235294117647,0.573529411764706,70976.0,57413.0
Ecoli,F4RM-WiSARD-dense,TabPFN,0,0,0,0,0,0,0.7588235294117647,0.8705882352941176,533.0,0.0
Ecoli,F4RM-WiSARD-cuckoo,Random-WiSARD-dense,101,98,3,50,49,1,0.7705882352941177,0.8705882352941176,554.0,6697.0
Ecoli,F4RM-WiSARD-cuckoo,Random-WiSARD-cuckoo,101,42,59,50,50,0,0.7705882352941177,0.8705882352941176,116.2,1409.4
Ecoli,F4RM-WiSARD-cuckoo,DT,101,101,0,50,50,0,0.7588235294117647,0.8352941176470589,1892.0,3377.8
Ecoli,F4RM-WiSARD-cuckoo,RF,101,101,0,0,0,0,0.8352941176470589,0.8705882352941176,44010.2,12086.8
Ecoli,F4RM-WiSARD-cuckoo,CatBoost,0,0,0,0,0,0,0.8705882352941178,0.8705882352941176,128564.8,12086.8
Ecoli,F4RM-WiSARD-cuckoo,XGBoost,101,101,0,0,0,0,0.8470588235294118,0.8617647058823529,525955.8,12086.8
