dataset,n_features,n_samples,a,t,thermometer,random_mean,f4rm_mean,paired_delta_mean,paired_delta_ci_half,wilcoxon_p,n_paired,significance
Haberman,3,306,6,8,distributive,0.7312903225806451,0.7270967741935485,-0.004193548387096775,0.007967352739613033,0.29934072975076464,50,n.s.
Haberman,3,306,6,8,gaussian,0.7329032258064516,0.7312903225806451,-0.0016129032258064568,0.009440762240165679,0.6230209058722705,50,n.s.
Haberman,3,306,6,8,exponential,0.7451612903225808,0.7393548387096774,-0.005806451612903225,0.008652130075230583,0.3153893675423368,50,n.s.
Ecoli,7,336,8,8,linear,0.7738235294117647,0.7844117647058824,0.010588235294117643,0.009917975013766794,0.0771407318271278,50,n.s.
Ecoli,7,336,8,8,distributive,0.8058823529411764,0.8191176470588235,0.013235294117647073,0.011798334290971862,0.02208634793986784,50,n.s.
Ecoli,7,336,8,8,gaussian,0.811470588235294,0.8197058823529411,0.00823529411764707,0.01077408142023379,0.1119245806206557,50,n.s.
Ecoli,7,336,8,8,exponential,0.705,0.7105882352941176,0.00558823529411764,0.013276203442802132,0.6115924368853982,50,n.s.
Ionosphere,34,351,8,8,linear,0.7816901408450704,0.7771830985915493,-0.004507042253521132,0.026164525456855964,0.9421317862622356,50,n.s.
Ionosphere,34,351,8,8,distributive,0.9095774647887324,0.8971830985915493,-0.012394366197183102,0.010333297455426363,0.015018520428304951,50,n.s.
Ionosphere,34,351,8,8,gaussian,0.8890140845070422,0.884225352112676,-0.0047887323943661955,0.013376166602193953,0.6713361088653305,50,n.s.
Ionosphere,34,351,8,8,exponential,0.6154929577464789,0.6183098591549296,0.002816901408450707,0.027974993793076594,0.5757874071780149,50,n.s.
Breast Cancer,30,569,9,8,linear,0.9059649122807016,0.9015789473684211,-0.0043859649122807,0.01050412866402819,0.7310040198598184,50,n.s.
Breast Cancer,30,569,9,8,distributive,0.9561403508771928,0.9607017543859648,0.004561403508771926,0.004057912561303681,0.02468082807944294,50,n.s.
Breast Cancer,30,569,9,8,gaussian,0.961578947368421,0.9582456140350876,-0.0033333333333333283,0.004363089820926498,0.20348657974518902,50,n.s.
Breast Cancer,30,569,9,8,exponential,0.9519298245614034,0.952456140350877,0.0005263157894736792,0.005943859649122808,0.9273357924731136,50,n.s.
Balance Scale,4,625,8,8,linear,0.6990400000000001,0.75088,0.051840000000000004,0.021416274394954877,4.982808125462461e-05,50,+++
Balance Scale,4,625,8,8,distributive,0.63472,0.7022399999999999,0.06751999999999998,0.026485705439727288,1.0450646685664201e-05,50,+++
Balance Scale,4,625,8,8,gaussian,0.6990400000000001,0.75088,0.051840000000000004,0.021416274394954877,4.982808125462461e-05,50,+++
Balance Scale,4,625,8,8,exponential,0.63824,0.70928,0.07104,0.030426555811659,4.515698012829546e-05,50,+++
Pima Diabetes,8,768,9,8,linear,0.687012987012987,0.6833766233766232,-0.0036363636363636286,0.008667675296255754,0.26525273352378176,50,n.s.
Pima Diabetes,8,768,9,8,distributive,0.7002597402597402,0.7007792207792207,0.0005194805194805197,0.010392877408419971,0.6772800534830421,50,n.s.
Pima Diabetes,8,768,9,8,gaussian,0.6972727272727272,0.7071428571428572,0.009870129870129868,0.011637727192836064,0.09657325163927373,50,n.s.
Pima Diabetes,8,768,9,8,exponential,0.6728571428571428,0.6806493506493507,0.007792207792207792,0.009090909090909084,0.07854294393217134,50,n.s.
Vehicle,18,846,9,8,linear,0.5827058823529412,0.5885882352941176,0.005882352941176469,0.012762314766557516,0.3738219150240223,50,n.s.
Vehicle,18,846,9,8,distributive,0.6723529411764707,0.6849411764705883,0.012588235294117648,0.009223588235106547,0.008057336315935495,50,n.s.
Vehicle,18,846,9,8,gaussian,0.6594117647058825,0.6755294117647059,0.01611764705882352,0.010263753807186375,0.00567399871944509,50,n.s.
Vehicle,18,846,9,8,exponential,0.6352941176470589,0.6357647058823529,0.000470588235294116,0.011271660025177453,0.9302467854274128,50,n.s.
Banknote,4,1372,8,8,linear,0.8313454545454545,0.8640727272727272,0.032727272727272716,0.022665010861576306,0.012573734557111053,50,n.s.
Banknote,4,1372,8,8,distributive,0.9286545454545455,0.9436363636363637,0.014981818181818186,0.012248079783385038,0.021288404883701432,50,n.s.
Banknote,4,1372,8,8,gaussian,0.9336,0.9605818181818182,0.026981818181818173,0.012420299161965754,7.639258668596754e-05,50,+++
Banknote,4,1372,8,8,exponential,0.7759999999999999,0.7748363636363637,-0.0011636363636363624,0.017913565787040044,0.5571822256226062,50,n.s.
Yeast,8,1484,10,8,linear,0.3948821548821549,0.40235690235690236,0.007474747474747475,0.006856380869015548,0.04874833079695539,50,n.s.
Yeast,8,1484,10,8,distributive,0.44882154882154884,0.47070707070707074,0.021885521885521887,0.009140892644065405,6.13558587665926e-05,50,+++
Yeast,8,1484,10,8,gaussian,0.4520538720538721,0.471043771043771,0.018989898989898998,0.009444112155578558,0.0002499122931206539,50,+++
Yeast,8,1484,10,8,exponential,0.3919865319865319,0.3972390572390573,0.005252525252525252,0.006092774486210153,0.04707195525870282,50,n.s.
Steel Plates,33,1941,10,8,linear,0.7962467866323908,0.8140874035989718,0.017840616966580975,0.011634343956796765,0.002002392008625937,50,+++
Steel Plates,33,1941,10,8,distributive,0.845038560411311,0.8676606683804627,0.02262210796915168,0.010616905581280905,0.00031740688199388743,50,+++
Steel Plates,33,1941,10,8,gaussian,0.8126992287917737,0.8278663239074551,0.01516709511568123,0.010806747879161705,0.011339071805183674,50,n.s.
Steel Plates,33,1941,10,8,exponential,0.8119280205655527,0.8292544987146528,0.017326478149100252,0.013861833797336433,0.031253580001036826,50,n.s.
Segment,19,2310,11,8,linear,0.875757575757576,0.8756277056277055,-0.00012987012987013323,0.005455097615150186,0.8333865817275568,50,n.s.
Segment,19,2310,11,8,distributive,0.9324675324675324,0.9356277056277055,0.003160173160173172,0.004213250339176311,0.10817065255499016,50,n.s.
Segment,19,2310,11,8,gaussian,0.9161904761904762,0.9198268398268398,0.00363636363636364,0.004749659501594149,0.09543465068086388,50,n.s.
Segment,19,2310,11,8,exponential,0.8944155844155843,0.895757575757576,0.001341991341991342,0.005778768015729159,0.4059736002875799,50,n.s.
Waveform,40,5000,12,8,linear,0.64408,0.6503,0.006220000000000008,0.007197533844310847,0.1974353312904802,50,n.s.
Waveform,40,5000,12,8,distributive,0.77148,0.7775799999999999,0.006100000000000006,0.004831034671786163,0.02368915969280486,50,n.s.
Waveform,40,5000,12,8,gaussian,0.7739600000000002,0.7768200000000001,0.0028600000000000027,0.004647666012096829,0.3030202281542439,50,n.s.
Waveform,40,5000,12,8,exponential,0.5656800000000001,0.5732400000000001,0.007559999999999989,0.007898414382646674,0.050015376569539985,50,n.s.
SatImage,36,6430,12,8,linear,0.7404043545878695,0.7448522550544324,0.0044479004665629795,0.009537346735714526,0.32240942693758023,50,n.s.
