a,t,random_mean,f4rm_mean,delta
16,32,0.8202047174009791,0.8508455718736092,0.030640854472630097
20,32,0.8547730307076102,0.8744325767690253,0.019659546061415067
24,32,0.8690921228304407,0.8866488651535381,0.017556742323097452
28,32,0.8755451713395638,0.8928460169114376,0.017300845571873835
32,32,0.8787605696484202,0.8909434801958168,0.01218291054739662
40,32,0.8708611481975967,0.8772140631953717,0.0063529149977749055
48,32,0.838551401869159,0.8412772585669782,0.002725856697819218
56,32,0.7843569203382288,0.7823208722741433,-0.002036048064085527
64,32,0.7299510458388964,0.7264129951045839,-0.003538050734312459
4,64,0.5963729417000446,0.5983756119270137,0.0020026702269690944
8,64,0.7172674677347575,0.7432799287939473,0.026012461059189862
12,64,0.8015910102358702,0.8421228304405874,0.04053182020471724
16,64,0.8549844236760124,0.8848242100578548,0.02983978638184248
20,64,0.8832888295505118,0.9007899421450823,0.017501112594570545
24,64,0.8963840676457498,0.9115821094793058,0.015198041833555997
28,64,0.902692478860703,0.9187360925678684,0.01604361370716534
32,64,0.9068313306631062,0.9185692033822875,0.011737872719181364
40,64,0.9066199376947043,0.9133288829550513,0.006708945260347043
48,64,0.887427681352915,0.8930685358255454,0.005640854472630297
56,64,0.853927458834001,0.8539052069425902,-2.225189141080719e-05
64,64,0.8084668446817979,0.8019470404984425,-0.006519804183355404
4,128,0.6144859813084113,0.6213618157543391,0.006875834445927875
8,128,0.7549510458388962,0.7852692478860703,0.03031820204717417
12,128,0.8399866488651536,0.8728415665331554,0.03285491766800175
16,128,0.8848019581664442,0.9063195371606586,0.02151757899421436
20,128,0.9053293279928795,0.917601246105919,0.012271918113039515
24,128,0.9147975077881622,0.9262906097018248,0.011493101913662596
28,128,0.9214508233199823,0.932832665776591,0.01138184245660867
32,128,0.9252225189141077,0.9342679127725856,0.009045393858477913
40,128,0.9278482421005784,0.9341455273698265,0.00629728526924811
48,128,0.920549621717846,0.9252670226969296,0.004717400979083575
56,128,0.9014352469959946,0.903382287494437,0.0019470404984424095
64,128,0.8697930574098799,0.8641410769915443,-0.005651980418335589
4,256,0.6473742768135292,0.6474410324877613,6.67556742320885e-05
8,256,0.7933466844681798,0.8204272363150867,0.02708055184690694
12,256,0.8724410324877615,0.8977636849132177,0.02532265242545617
16,256,0.9024699599465954,0.9206831330663106,0.018213173119715154
20,256,0.9172229639519359,0.9293613707165111,0.012138406764575227
24,256,0.9264352469959946,0.9361593235425011,0.009724076546506533
28,256,0.9305295950155764,0.939853137516689,0.009323542501112558
32,256,0.9347574543836225,0.9427347574543836,0.007977303070761166
40,256,0.9378615932354251,0.9457498887405429,0.007888295505117826
48,256,0.9375278148642636,0.9425011125945705,0.004973297730306858
56,256,0.9301401869158881,0.9315976858032933,0.0014574988874052064
64,256,0.911092567868269,0.9094348019581664,-0.0016577659101025821
4,512,0.6802069425901202,0.6775923453493546,-0.002614597240765515
8,512,0.8289830885625279,0.8491433021806852,0.02016021361815734
12,512,0.8932799287939475,0.9150645304850913,0.021784601691143823
16,512,0.9179127725856697,0.9305852247441032,0.01267245215843349
20,512,0.9279149977748108,0.9368936359590566,0.008978638184245824
24,512,0.932721406319537,0.9411103693813972,0.00838896306186021
28,512,0.937427681352915,0.9460947930574101,0.008667111704495079
32,512,0.9403649310191367,0.9476079216733422,0.007242990654205528
40,512,0.9459167779261237,0.9512349799732978,0.0053182020471740366
48,512,0.9479194481530933,0.9518024032042725,0.0038829550511791933
56,512,0.9446039163328884,0.94826435246996,0.0036604361370715655
64,512,0.9357031597685802,0.9363373386737872,0.0006341789052070057
