f4rm_system,baseline_system,mem_band,n_datasets_both_have_rows,n_f4rm_wins,n_baseline_wins,n_ties
Random-WiSARD-cuckoo,DT,10-100KB,13,13,0,0
Random-WiSARD-cuckoo,DT,100KB-1MB,3,3,0,0
Random-WiSARD-cuckoo,DT,>1MB,0,0,0,0
Random-WiSARD-cuckoo,RF,<1KB,0,0,0,0
Random-WiSARD-cuckoo,RF,1-10KB,0,0,0,0
Random-WiSARD-cuckoo,RF,10-100KB,11,8,2,1
Random-WiSARD-cuckoo,RF,100KB-1MB,9,5,3,1
Random-WiSARD-cuckoo,RF,>1MB,1,0,1,0
Random-WiSARD-cuckoo,XGBoost,<1KB,0,0,0,0
Random-WiSARD-cuckoo,XGBoost,1-10KB,0,0,0,0
Random-WiSARD-cuckoo,XGBoost,10-100KB,4,2,2,0
Random-WiSARD-cuckoo,XGBoost,100KB-1MB,6,1,5,0
Random-WiSARD-cuckoo,XGBoost,>1MB,1,0,1,0
Random-WiSARD-cuckoo,LightGBM,<1KB,0,0,0,0
Random-WiSARD-cuckoo,LightGBM,1-10KB,0,0,0,0
Random-WiSARD-cuckoo,LightGBM,10-100KB,3,1,1,1
Random-WiSARD-cuckoo,LightGBM,100KB-1MB,7,1,6,0
Random-WiSARD-cuckoo,LightGBM,>1MB,1,0,1,0
Random-WiSARD-cuckoo,CatBoost,<1KB,0,0,0,0
Random-WiSARD-cuckoo,CatBoost,1-10KB,0,0,0,0
Random-WiSARD-cuckoo,CatBoost,10-100KB,11,3,8,0
Random-WiSARD-cuckoo,CatBoost,100KB-1MB,9,2,6,1
Random-WiSARD-cuckoo,CatBoost,>1MB,1,0,1,0
Random-WiSARD-cuckoo,MLP,<1KB,2,2,0,0
Random-WiSARD-cuckoo,MLP,1-10KB,20,16,4,0
Random-WiSARD-cuckoo,MLP,10-100KB,16,13,2,1
Random-WiSARD-cuckoo,MLP,100KB-1MB,9,5,4,0
Random-WiSARD-cuckoo,MLP,>1MB,0,0,0,0
Random-WiSARD-cuckoo,FT-Transformer,<1KB,0,0,0,0
Random-WiSARD-cuckoo,FT-Transformer,1-10KB,0,0,0,0
Random-WiSARD-cuckoo,FT-Transformer,10-100KB,18,17,0,1
Random-WiSARD-cuckoo,FT-Transformer,100KB-1MB,9,7,2,0
Random-WiSARD-cuckoo,FT-Transformer,>1MB,0,0,0,0
Random-WiSARD-cuckoo,BTHOWeN,<1KB,20,9,10,1
Random-WiSARD-cuckoo,BTHOWeN,1-10KB,21,16,5,0
Random-WiSARD-cuckoo,BTHOWeN,10-100KB,14,14,0,0
Random-WiSARD-cuckoo,BTHOWeN,100KB-1MB,1,1,0,0
Random-WiSARD-cuckoo,BTHOWeN,>1MB,0,0,0,0
Random-WiSARD-cuckoo,DWN,<1KB,0,0,0,0
Random-WiSARD-cuckoo,DWN,1-10KB,21,18,3,0
Random-WiSARD-cuckoo,DWN,10-100KB,18,11,6,1
Random-WiSARD-cuckoo,DWN,100KB-1MB,0,0,0,0
Random-WiSARD-cuckoo,DWN,>1MB,0,0,0,0
Random-WiSARD-cuckoo,ULEEN,<1KB,20,12,8,0
Random-WiSARD-cuckoo,ULEEN,1-10KB,21,10,10,1
Random-WiSARD-cuckoo,ULEEN,10-100KB,10,7,1,2
Random-WiSARD-cuckoo,ULEEN,100KB-1MB,0,0,0,0
Random-WiSARD-cuckoo,ULEEN,>1MB,0,0,0,0
